Question,Answer
"Здравствуйте! Какая цена строительства под ключ с чистовой отделкой в 150м2?","Цена зависит от комплектации дома (материал стен отделка и тд) для более точно подсчета оставьте свой контактный номер телефона с вами свяжется нам менеджер"
"Здравствуйте! Какие цены за м2? С материалами","Цена зависит от комплектации дома (материал стен отделка и тд) для более точно подсчета оставьте свой контактный номер телефона с вами свяжется нам специалист !"
"Вы строите бани? Сколько будет стоить построить баню 5Х10?","Да конечно строим бани! Оставьте свой контактный телефон наш специалист вам поможет"
"Здравствуйте! У Вас есть готовые дом, участки?","Есть готовые дома на продажу и земельные участки"
"Здравствуйте! Нужно достроить дом, занимаетесь?","Да конечно занимаемся"
"Здравствуйте! Возможно, ли построить в ипотеку?","Своего ипотечного брокера нет, не содействуем в оформление ипотеки! документы необходимые для банка предоставляем (договора сметы и тд)"
"Здравствуйте! Есть проект, нужно посчитать стоимость?","Отлично скидывайте проект наш сметный отдел даст вам расчёт"
"Здравствуйте! Нужно построить гараж","Оставьте свой контактный телефон наш специалист вам поможет"
"Хотим ознакомиться с вашим сайтом, проектами.","Оставьте свой контактный телефон наш специалист отравит вам всю информацию о компании"
"Возможно ли построить без первоначального взноса?","Своего ипотечного брокера нет, не содействуем в оформление ипотеки! Документы необходимые для банка предоставляем (договора сметы и тд)"
"Добрый день! Хотим построить дом но нет земельного участка? Помогаете с подбором ?","Конечно есть специалист кто занимается подбором земельного участка"
